brand,name,form,ownership,rating,bottle_candidate,comment,source,top_notes,middle_notes,base_notes,main_accords,matched,dataset_idx,notes_source
Diptyque,Philosykos,EdP,Decant,9.5,True,Preferred for longevity; core fresh fig signature.,html_import,"Fig Leaf, Fig","Green Notes, Coconut","Fig Tree, Woody Notes, Cedar","green, woody, sweet, fresh, fruity",True,18658.0,
Diptyque,Philosykos,EdT,Decant,9.5,False,"Luminous green fig, signature, emotional; EdP matches but EdT is brighter.",html_import,Fig,Fig Leaf,Fig Tree,"green, woody, fresh, sweet, fruity",True,21533.0,
Hermès,Terre d'Hermès Eau de Parfum Intense,EdP,Decant,7.5,False,"Spicy, woody-mineral, embracing, excellent sillage; signature comfort and warmth.",html_import,"Bergamot, Black Pepper","Coffee, Licorice","Woody Notes, Lava, Stone","coffee, fresh spicy, warm spicy, woody, soft spicy",True,,web_enriched
Memo,Irish Leather,EdP,Full Bottle,8.5,False,"Dynamic green-citrus leather, lightly powdery; elegant, empowering for professional use.",html_import,"juniper berry, Pepper, Mandarin","Mate, Clary Sage, Iris","Leather, Cedarwood, Vetiver","aromatic, fresh spicy, leather, woody, animalic",True,34769.0,web_enriched
Nishane,Hacivat,Extrait,Full Bottle,9.0,False,"Bright, energetic, musky Aventus-like scent; sharper, masculine, excellent projection. Fruity opening, elegant drydown—dynamic core for spring/summer.",html_import,"Pineapple, Grapefruit, Bergamot","Cedar, Patchouli, Jasmine","Oakmoss, Woody Notes","woody, citrus, mossy, fruity, earthy",True,22311.0,
Byredo,Desert Dawn,EdP,Decant,8.0,True,"Crisp cardamom-citrus, lively rose; dries to aromatic spicy woods, mood-lifter, short-lived.",html_import,"Rose Petals, Cardamom","Sandalwood, Cedarwood, Carrot Seeds","Musk, Papyrus, Silk, Vetiver","woody, powdery, musky, warm spicy, aromatic",True,,web_enriched
Creed,Aventus,EdP,Decant,8.0,False,"Citrusy, elegant, creamy woody heart; formal, ""old noble"" vibe. Best for refined spring/summer occasions, potential future core.",html_import,"Bergamot, Black Currant, Apple, Lemon, Pink Pepper","Pineapple, Patchouli, Moroccan Jasmine","Birch, Musk, Oak Moss, Ambroxan, Cedarwood","fruity, sweet, leather, woody, smoky",True,22149.0,
Hermès,Un Jardin sur le Nil,EdT,Decant,8.0,False,"Elegant green citrus, watery/floral undertones; distinctly summer and uplifting, refined and neutral character. Excellent freshness, projection, longevity—slightly feminine, suits social/office/casual wear.",html_import,"Grapefruit, Green Mango, Tomato, Carrot","Lotus, Bulrush, Orange, Hiacynth, Peony","Musk, Iris, Incense, Labdanum, Cinnamon","citrus, aromatic, floral, fresh spicy, green",True,17175.0,
Serge Lutens,Chergui,EdP,Decant,8.0,False,"Cozy tobacco, honey, hay; warm, autumnal, excellent drydown.",html_import,,"Tobacco Leaf, Honey, Amber, Hay, Incense, Sandalwood, Iris, Musk, Rose",,"amber, sweet, tobacco, honey, powdery",True,37726.0,web_enriched
Acqua di Parma,Colonia Il Profumo,(Decant),,7.5,False,Polished citrus-aromatic with rich fougère-powdery heart. Sophisticated and autumnal; fades to skin scent quickly but decent longevity. Safe elegant option for office/formal wear.,html_import,"Lemon, Orange, Bergamot, Petitgrain, Pineapple","Verbena, Neroli, Lavender, Ylang-Ylang, Rose","Moss, Vetiver, Cedar, Patchouli, Sandalwood, Leather","citrus, woody, aromatic, fresh spicy, sweet",True,,web_enriched
Acqua di Parma,Oud,EdP,Decant,7.5,False,Refined Italian oud with fresh opening and distinct saffron/animalic wood drydown. Sharp saffron note defines identity; elegant and mysterious for evening wear.,html_import,"Orange, Calabrian Bergamot","Agarwood (Oud), Amyris, Coriander","Leather, Sandalwood, Musk, Cedar, Patchouli","woody, citrus, oud, leather, aromatic",True,22009.0,
Maison Francis Kurkdjian,Petit Matin,EdP,Decant,7.5,False,"Joyful citrus-green, soft lavender; more ""space"" scent than personal signature.",html_import,,"Italian Lemon, Orange Blossom, Musk, Lavender, Ambroxan, Hawthorn",,"citrus, musky, white floral, aromatic, lavender",True,34494.0,web_enriched
Maison Margiela Replica,Jazz Club,EdT,Decant,7.5,False,"Vanilla-leather with balanced floral/smoky turns; versatile, good evolution.",html_import,"Pink Pepper, Neroli, Lemon","Rum, Java Vetiver Oil, Clary Sage","Tobacco Leaf, Vanilla Bean, Styrax","tobacco, sweet, rum, vanilla, woody",True,19507.0,
Penhaligon's,Endymion Concentrée,(Decant),Decant,7.0,False,"Elegant, gentle, powdery musk; discreet/formal, versatile, engaging.",html_import,"Lavender, Sage, Bergamot","Suede, Geranium","Leather, Nutmeg, Incense","leather, fresh spicy, aromatic, lavender, herbal",True,14039.0,
